RANK,PLAYER,POS,AGE,CAP HIT,CAP HIT PCT,DEAD CAP,CASH TOTAL,FREE AGENT YEAR
"1","Dak Prescott","QB","31","43582247","16.99","195270294","81250000","2029"
"2","Zack Martin","G","34","15500000","6.07","41960000","18000000","2025"
"3","Trevon Diggs","CB","27","14117647","5.53","28000000","12000000","2029"
"4","CeeDee Lamb","WR","25","8750000","3.43","67000000","39150000","2030"
"5","Donovan Wilson","S","27","7370575","2.89","10450000","5750000","2026"
"6","Terence Steele","RT","27","6500000","2.55","19250000","8000000","2029"
"7","Micah Parsons","DE","25","5434479","2.13","5434479","2989062","2026"
"8","Trey Lance","QB","24","5310714","2.08","5310719","5310714","2025"
"9","Malik Hooker","FS","28","3985296","1.56","7750000","2000000","2027"
"10","Bryan Anger",P,"36","3800000","1.49","800000","3000000","2025"
"11","Tyler Smith","G","23","3651579","1.43","7911754","1922193","2027"
"12","Osa Odighizuwa","DT","26","3380762","1.32","264762","3116000","2025"
"13","Mazi Smith","DT","23","3016976","1.18","10861115","1353395","2028"
"14","Eric Kendricks","ILB","32","2941165","1.15","2500000","3000000","2025"
"15","Cooper Rush","QB","31","2875000","1.13","625000","2250000","2025"
"16","Tyler Guyton","LT","23","2391965","0.94","13155806","71828260","2029"
"17","Linval Joseph","DT","36","2205000","0.86","2000000","2500000","2025"
"18","Ezekiel Elliott","RB","29","2000000","0.78","1625000","2000000","2025"
"19","Chauncey Golston","DT","26","1564369","0.61","233925","1330444","2025"
"20","Luke Schoonmaker","TE","26","1424247","0.56","2203043","1034849","2027"
"21","Jalen Tolbert","WR","25","1400651","0.55","457534","1171884","2026"
"22","Jourdan Lewis","CB","29","1377500","0.54","2827500","2827500","2025"
"23","Rico Dowdle","RB","26","1255000","0.49","200000","1255000","2025"
"24","DeMarvion Overshown","OLB","24","1225006","0.48","690015","995001","2027"
"25","Jake Ferguson","TE","25","1161221","0.45",0,"985000","2026"
"26","C.J. Goodwin","CB","34","1152500","0.45","167500","1377500","2025"
"27","Trent Sieg","LS","29","1152500","0.45","1292500","1292500","2025"
"28","Israel Mukuamu","CB","25","1087677","0.43","32677","1055000","2025"
"29","Cooper Beebe",C,"23","1079949","0.42","1139796","1934796","2028"
"30","DaRon Bland","CB","25","1061197","0.42","152394","985000","2026"
"31","Damone Clark","OLB","24","1045638","0.41","121276","985000","2026"
"32","Marist Liufau","OLB","23","1034821","0.41","959284","1754284","2028"
"33","Matt Waletzko","RT","25","995873","0.39","161746","915000","2026"
"34","Markquese Bell","S","25","990000","0.39","5000","985000","2025"
"35","Brock Hoffman",C,"25","985000","0.39","0","985000","2025"
"36","Kavontae Turpin","WR","28","985000","0.39","0","985000","2025"
"37","Asim Richards","G","24","976244","0.38","183732","915000","2027"
"38","Deuce Vaughn","RB","23","948334","0.37","100002","915000","2027"
"39","Jalen Brooks","WR","24","935590","0.37","61770","915000","2027"
"40","Hunter Luepke","FB","24","921666","0.36","13334","915000","2026"
"41","T.J. Bass","G","25","918333","0.36","6667","915000","2026"
"42","Buddy Johnson","OLB","25","915000","0.36","0","915000","2026"
"43","Juanyeh Thomas","S","24","915000","0.36","0","915000","2025"
"44","Tyrus Wheat","DE","25","915000","0.36","0","915000","2025"
"45","Brandon Aubrey","K","29","915000","0.36","0","915000","2026"
"46","Carlos Watkins","DE","31","875552","0.34","0","1000000","2025"
"47","Caelen Carson","CB","22","858569","0.34","254276","1049276","2028"
"48","Ryan Flournoy","WR","25","829597","0.32","138388","933388","2028"
"49","Brevyn Spann-Ford","TE","25","801666","0.31","245000","815000","2027"
"50","Nick Vigil","OLB","31","766108","0.30","0","941108","2025"
"51","K.J. Henry","DE","25","711667","0.28","0","711666","2025"
"52","Carl Lawson","DE","29","711386","0.28","0","812500","2025"
"53","Jonathan Mingo","WR","23","576286","0.23","2944150","576286","2027"
